1787814045.135185017 1007	1007	20000	0  
1787814045.671565488 1010	1010	20000	0  
1787814046.204341769 1010	1010	20000	0  
1787814046.751040012 3124	2280	40000	0  
1787814047.311631320 3124	2280	40000	0  
1787814047.838904211 3855	2598	60000	0  
1787814048.348459770 3855	2598	60000	0  
1787814048.890301329 3855	2598	60000	0  
1787814049.601342211 3855	2598	60000	0  
1787814050.172526937 4587	3041	60000	0  
1787814050.692473228 4587	3041	60000	0  
1787814051.211030103 5318	3125	80000	0  
1787814051.728344010 5318	3125	80000	0  
1787814052.289550062 5318	3125	80000	0  
1787814052.810113007 5318	3125	80000	0  
1787814053.318938717 5318	3125	80000	0  
1787814053.839593467 5318	3125	80000	0  
1787814054.356409994 9148	3855	100000	0  
1787814054.867469586 9148	3856	100000	0  
1787814055.378662172 9148	3856	100000	0  
1787814055.942505665 9148	3856	100000	0  
1787814056.514441167 9148	3856	100000	0  
1787814057.082511253 11900	4587	120000	0  
1787814057.638354286 11900	4588	120000	0  
1787814058.162382985 11900	4588	120000	0  
1787814058.715506950 11900	4588	120000	0  
1787814059.267225098 14094	5318	140000	0  
1787814059.778510015 14094	5319	140000	0  
1787814060.330487256 14094	5319	140000	0  
1787814060.895744540 14094	5319	140000	0  
1787814061.454264310 14094	5319	140000	0  
1787814062.244996110 17020	6049	160000	0  
1787814062.862362497 17020	6049	160000	0  
1787814063.382368850 17020	6050	160000	0  
1787814063.943089980 17020	6050	160000	0  
1787814064.468066437 17020	6050	160000	0  
1787814064.976781013 19945	6781	180000	0  
1787814065.547489781 19945	6782	180000	0  
1787814066.095607746 19945	6782	180000	0  
1787814066.674496870 19945	6782	180000	0  
1787814067.244309649 19945	6782	180000	0  
1787814067.764372505 19945	6782	180000	0  
1787814068.285574524 23111	7614	200000	0  
1787814068.805549185 23111	7614	200000	0  
1787814069.516152195 23111	7614	200000	0  
1787814070.028486217 23111	7614	200000	0  
1787814070.583074268 23111	7614	200000	0  
1787814071.128325501 25797	8243	220000	0  
1787814071.756489755 25797	8244	220000	0  
1787814072.310545218 25797	8244	220000	0  
1787814072.858581349 25797	8244	220000	0  
1787814073.382497005 25797	8244	220000	0  
1787814073.917147975 27991	8976	240000	0  
1787814074.447804445 27991	8976	240000	0  
1787814074.958964055 28722	9146	240000	0  
1787814075.468462163 28722	9147	240000	0  
1787814076.029454696 28722	9147	240000	0  
1787814076.548529701 30916	9707	260000	0  
1787814077.064705403 30916	9707	260000	0  
1787814077.604639435 30916	9707	260000	0  
1787814078.125332832 30916	9707	260000	0  
1787814078.670531917 33840	10437	280000	0  
1787814079.212516142 33840	10438	280000	0  
1787814079.751140090 33840	10438	280000	0  
1787814080.262903072 35302	11247	300000	0  
1787814080.788513144 35302	11247	300000	0  
1787814081.386484995 35302	11248	300000	0  
1787814082.078270186 35302	11248	300000	0  
1787814082.645509054 35302	11248	300000	0  
1787814083.216374696 37495	11901	320000	0  
1787814083.795324961 37495	11901	320000	0  
1787814084.316170466 37495	11901	320000	0  
1787814084.827695102 37495	11901	320000	0  
1787814085.337455751 37495	11901	320000	0  
1787814085.858380017 40419	12632	340000	0  
1787814086.395151339 40419	12633	340000	0  
1787814086.916536391 40419	12633	340000	0  
1787814087.467876443 40419	12633	340000	0  
1787814088.017500509 40419	12633	340000	0  
1787814088.538384954 40419	12633	340000	0  
1787814089.068523080 40419	12633	340000	0  
1787814089.584091858 40419	12633	340000	0  
1787814090.095713786 40419	12633	340000	0  
1787814090.605816581 40419	12633	340000	0  
1787814091.126459330 40419	12633	340000	0  
1787814091.681344126 40419	12633	340000	0  
1787814092.231479598 40419	12633	340000	0  
1787814092.785504673 40419	12633	340000	0  
1787814093.363463852 40419	12633	340000	0  
1787814093.886615727 40419	12633	340000	0  
1787814094.435311050 40419	12633	340000	0  
1787814094.950593891 40419	12633	340000	0  
1787814095.461503665 40419	12633	340000	0  
1787814096.004482000 40419	12633	340000	0  
1787814096.520485962 40419	12633	340000	0  
1787814097.040449270 40419	12633	340000	0  
1787814097.560454287 40419	12633	340000	0  
1787814098.077272797 40419	12633	340000	0  
1787814098.614312796 40419	12633	340000	0  
1787814099.202184867 40419	12633	340000	0  
1787814099.742358193 40419	12633	340000	0  
1787814100.260057779 40419	12633	340000	0  
1787814100.818361245 40419	12633	340000	0  
1787814101.338876676 40419	12633	340000	0  
1787814101.873346050 40419	12633	340000	0  
1787814102.417179567 40419	12633	340000	0  
1787814102.930353948 40419	12633	340000	0  
1787814103.462429341 40419	12633	340000	0  
1787814104.015512775 40419	12633	340000	0  
1787814104.542205805 40419	12633	340000	0  
1787814105.059221909 40419	12633	340000	0  
1787814105.624053903 40419	12633	340000	0  
1787814106.145518902 40419	12633	340000	0  
1787814106.684717177 40419	12633	340000	0  
1787814107.199573265 40419	12633	340000	0  
1787814107.711740561 40419	12633	340000	0  
1787814108.275515131 40419	12633	340000	0  
1787814108.814577261 40419	12633	340000	0  
1787814109.366493217 40419	12633	340000	0  
1787814109.945164131 40419	12633	340000	0  
1787814110.482493755 40419	12633	340000	0  
1787814111.042400799 40419	12633	340000	0  
1787814111.594941103 40419	12633	340000	0  
1787814112.108319593 40419	12633	340000	0  
1787814112.618354548 40419	12633	340000	0  
1787814113.143438665 40419	12633	340000	0  
1787814113.662454456 40419	12633	340000	0  
1787814114.226673819 40419	12633	340000	0  
1787814114.747483536 40419	12633	340000	0  
1787814115.347513765 40419	12633	340000	0  
1787814115.863547870 40419	12633	340000	0  
1787814116.417106943 40419	12633	340000	0  
1787814116.929927611 40419	12633	340000	0  
1787814117.439483493 40419	12633	340000	0  
1787814117.992356196 40419	12633	340000	0  
1787814118.543248591 40419	12633	340000	0  
1787814119.063304493 40419	12633	340000	0  
1787814119.589350564 68215	13363	360000	0  
1787814120.126330537 68215	13363	360000	0  
